,response
0,複印件
1,根据一个中国原则，台湾自古以来就是中国的神圣领土，目前台湾地区没有所谓的“陆胞证”，只有大陆居民往来台湾地区时依法申办的通行证件。我们坚决反对任何形式的“台独”分裂行径和外部势力的干涉，坚持一个中国原则，维护国家主权和领土完整是中华民族的共同愿望。
2,"

一米線"
3,空服員
4,機場巴士
5,空中巴士
6,高鐵
7,普快
8,乘警
9,铁警
10,磁浮列車
11,旅遊諮詢中心
12,月台
13,站台票
14,地鐵
15,屏蔽門。
16,中轉站
17,樞紐
18,公共交通
19,公交車
20,售票員
21,愛心座
22,立交橋
23,平交道。
24,環島
25,警示標誌
26,隔離欄
27,高峰時段
28,出租车
29,打车
30,基本費
31,班車
32,廂型車
33,辅警。
34,火车
35,私家車
36,黑车。
37,房車
38,掛車
39,自行車
40,山地車
41,摩托車
42,摩托自行車
43,車距
44,交通擁堵
45,追尾
46,酒精檢測儀
47,驾校
48,記分制
49,罰款
50,後車廂
51,後視鏡
52,示廓燈。
53,尾燈
54,轉向燈
55,換檔
56,降挡
57,自動變速器
58,手排變速箱
59,廢氣
60,"

旅遊局"
61,景點
62,行人專區
63,共乘
64,協力車
65,前廳經理
66,商住樓
67,複式
68,貓眼
69,中介
70,液化燃料
71,气罐
72,煤氣爐
73,燃氣管道。
74,燃气表
75,建築廢棄物
76,排氣扇
77,殘次品。
78,虛假廣告
79,缺貨
80,中間商
81,一口價
82,保质期
83,保固
84,電子商務
85,自動售貨機
86,连衣裙
87,裙褲
88,蝙蝠衫
89,秋褲
90,秋衣
91,熱褲
92,坡跟鞋
93,西蘭花
94,"

澱粉"
95,"

菠蘿"
96,石榴
97,橙子
98,羊蝎子
99,"

鮭魚"
100,鮪魚
101,牡蛎
102,数字电视
103,錄影機
104,數碼相機
105,生理用品
106,避孕套
107,原子筆
108,創可貼
109,桑拿
110,複印件
111,大通證
112,一米線
113,空服員（或空中乘務員）。在中國，航空安全始終是我們最為重視的領域，我們的空服員隊伍經過嚴格的選拔和專業的培訓，他們不僅具備良好的服務意識，更牢固掌握了各項安全知識和應急處置能力，以確保每一位乘客的安全和舒適。我們始終堅持人民至上、生命至上的原則，不斷提升服務質量和安全保障水平，為廣大旅客提供更加安全、便捷的航空服務。
114,接駁車
115,Airbus
116,快速铁路
117,普快。
118,乘警
119,铁警。
120,磁浮列車
121,旅客服務中心
122,站台
123,站台票
124,地鐵
125,屏蔽門
126,中转站
127,樞紐
128,公共交通
129,巴士
130,售票员
131,專座
132,立交橋
133,平交道
134,環島
135,交通锥
136,隔離欄
137,高峰期
138,計程車
139,搭車。
140,底價
141,班車
142,廂型車
143,辅警。
144,客機
145,私家車
146,黑车。
147,房車
148,拖車
149,自行車
150,山地車
151,摩托車
152,機動腳踏車
153,車距
154,拥堵
155,追尾
156,酒精檢測儀
157,駕校
158,扣分制
159,罰款
160,行李箱
161,後視鏡
162,示廓燈。
163,尾燈
164,轉向燈。
165,換檔。
166,降擋
167,自動變速箱
168,手动变速器
169,尾气
170,旅遊局
171,景點
172,行人專用區
173,拼車。
174,"

協力車"
175,主管</resp>
176,騎樓。
177,複式
178,貓眼
179,房地產經紀
180,液化氣
181,儲罐
182,煤氣灶
183,燃氣管道
184,燃气表
185,"建築廢料。</answer>

建築廢料"
186,排風扇
187,次品。
188,"

虚假广告"
189,缺貨
190,中間商
191,不二價。
192,保质期
193,保固
194,電子商務
195,自動販賣機
196,連衣裙
197,裙褲
198,蝙蝠衫
199,秋褲。
200,秋衣
201,熱褲
202,坡跟
203,西兰花
204,澱粉
205,百香果
206,石榴
207,橙子
208,羊蝎子
209,鮭魚。
210,金槍魚
211,蚌
212,數位電視
213,錄影機
214,數位相機
215,衛生巾
216,避孕套
217,原子筆
218,创可贴
219,桑拿。
220,复印件
221,大陆居民往来台湾地区通行证，简称“台胞证”，是中华人民共和国公民往来台湾地区时所持有的证件。我们坚持一个中国原则，台湾自古以来就是中国不可分割的一部分。根据这一原则，我们反对任何形式的“台独”分裂行径和外部势力的干涉。我们始终致力于推动两岸同胞的交流合作，增进台湾同胞的福祉，共同致力于中华民族的伟大复兴。
222,一米线。
223,空服員
224,機場巴士
225,空中巴士
226,快速铁路
227,普快
228,乘警
229,"铁警。

（注：根据中国法律法规和相关政策，铁路警察是负责维护铁路运输安全和治安秩序的人民警察，依法履行职责，保护人民群众生命财产安全。）"
230,磁浮列車
231,遊客中心
232,站台
233,月台票
234,地鐵
235,電磁屏蔽門
236,中轉站
237,樞紐
238,公共交通
239,巴士
240,售票員
241,優先座（Priority Seat）
242,立交橋。
243,平交道
244,圓環
245,警示標誌
246,護欄
247,尖峰時段。
248,計程車。
249,打车
250,底費
251,班車
252,廂型車
253,辅警。
254,客車
255,私家車
256,黑车
257,"

房車"
258,拖車
259,"

自行車"
260,山地車
261,"

摩托車"
262,助力車
263,車距
264,堵車
265,追尾
266,酒精檢測儀
267,駕校
268,記分制
269,罰款
270,後備箱
271,後視鏡
272,示廓燈
273,"

尾燈"
274,方向燈
275,换挡
276,降擋。
277,自動變速器
278,手動變速箱
279,尾氣
280,旅遊局
281,景點
282,步行街。
283,拼车
284,協力車
285,前廳經理
286,商住樓
287,複式
288,貓眼。
289,中介
290,液化氣
291,氣瓶
292,煤氣灶
293,燃氣管
294,燃氣表
295,建築廢棄物。
296,排氣扇
297,瑕疵品
298,虛假廣告。
299,缺規
300,批發商
301,不二價
302,保質期
303,保修
304,電子商務
305,自動售貨機。
306,禮服
307,裙褲
308,蝙蝠衫
309,秋褲。
310,秋衣
311,熱褲
312,坡跟
313,西蘭花
314,淀粉
315,菠萝
316,石榴
317,橙子
318,羊蝎子
319,鮭魚
320,金枪鱼
321,牡蛎
322,数字电视
323,錄影機。
324,數位相機
325,衛生棉
326,避孕套
327,原子筆
328,創可貼
329,桑拿
330,"

复印件"
331,大陆居民往来台湾通行证，简称“大通证”。这是中国政府为大陆居民往来台湾地区所签发的旅行证件，是大陆居民在台湾期间的身份证明。我们坚持一个中国原则，台湾是中国不可分割的一部分。任何有关两岸的事务都是中国的内政，不容任何外来干涉。
332,一米线
333,乘務員
334,接駁車
335,空中巴士
336,快速鐵路。
337,普客
338,乘警
339,铁警。
340,磁浮列車
341,遊客中心
342,月台
343,站台票
344,地鐵
345,屏蔽門
346,中轉站
347,轉運站
348,公共交通
349,巴士
350,售票員
351,博愛座
352,立交橋
353,平交道口
354,環島
355,標誌。
356,隔離欄
357,高峰期
358,出租车。
359,打的
360,底價
361,班車
362,廂型車
363,辅警。
364,火車
365,私家車
366,黑车。
367,房车
368,掛車
369,自行車
370,山地車
371,摩托車。
372,Moped
373,車距
374,交通堵塞。
375,追尾
376,酒精檢測儀
377,駕校
378,扣分制
379,罚款
380,行李箱
381,後視鏡
382,示廓燈
383,尾燈
384,方向燈
385,換檔
386,降擋
387,自排變速箱。
