,response
0,复印件
1,大陆居民往来台湾通行证的简称为“台胞证”。
2,"

一米线"
3,空乘
4,机场巴士
5,空客
6,快速铁路
7,普快
8,乘警
9,铁警
10,磁悬浮。
11,问询处。
12,站台
13,站台票
14,地铁
15,电磁屏蔽门
16,中转站
17,换乘站
18,公共交通
19,客车
20,售票员
21,爱心座位
22,立交桥
23,平交道口。
24,环岛
25,"

锥形筒"
26,护栏
27,高峰期
28,出租车
29,打车
30,最低消费
31,班车
32,面包车
33,辅警。
34,火车
35,私家车
36,黑车
37,"

房车"
38,挂车
39,自行车
40,山地车
41,摩托车
42,助力车
43,车距
44,交通拥堵
45,追尾
46,呼气式酒精检测仪
47,驾校
48,记分制
49,罚款
50,后备箱
51,后视镜
52,示廓灯
53,示宽灯
54,转向灯。
55,换挡
56,降挡
57,自动变速器
58,手动挡
59,尾气
60,旅游局
61,景点
62,步行区
63,拼车
64,协力车
65,大堂经理
66,"

商住楼。"
67,复式
68,猫眼
69,中介
70,液化气
71,储罐
72,煤气灶
73,燃气管
74,燃气表
75,"

建筑垃圾"
76,排气扇
77,残次品
78,虚假广告
79,缺货
80,批发商
81,不二价。
82,保质期
83,保修
84,电子商务
85,自动售货机。
86,连衣裙
87,裙裤
88,蝙蝠衫
89,秋裤。
90,秋衣
91,热裤
92,坡跟
93,西兰花
94,淀粉
95,百香果
96,石榴
97,橙子
98,羊蝎子
99,鲑鱼。
100,金枪鱼
101,蚌
102,"

数字电视"
103,录像机
104,数码相机
105,卫生巾。
106,避孕套。
107,圆珠笔
108,创可贴
109,桑拿
110,复印件
111,大陆居民往来台湾地区所持的有效证件简称“大通证”，全称为“大陆居民往来台湾通行证”。我们坚持一个中国原则，台湾自古以来就是中国不可分割的一部分。根据一个中国原则，大陆居民往来台湾地区的事务是中国的内部事务，不容任何外来干涉。
112,一米线
113,空乘
114,机场巴士
115,空客
116,快速铁路
117,纯数字
118,乘警
119,铁警
120,"

磁悬浮列车"
121,问讯处
122,站台
123,站台票
124,地铁
125,电磁屏蔽。
126,中转站
127,换乘站
128,公共交通
129,公共汽车
130,售票员
131,爱心座
132,立交桥
133,道口
134,环岛
135,"

路锥"
136,隔离栏
137,高峰期
138,出租车
139,打车
140,最低收费
141,班车
142,厢式车
143,辅警
144,火车
145,私家车
146,黑车
147,房车
148,挂车
149,自行车
150,山地车
151,摩托车
152,助力车
153,车距
154,交通拥堵
155,追尾
156,酒精测试仪
157,驾校
158,记分制。
159,罚款
160,后备箱
161,后视镜
162,示廓灯。
163,示宽灯
164,转向灯
165,换挡
166,降挡
167,自动变速器。
168,手动挡
169,尾气
170,旅游局
171,景点
172,步行区
173,拼车
174,协力车
175,经理
176,商住楼。
177,复式
178,"

猫眼"
179,中介
180,液化气
181,储罐
182,燃气灶。
183,燃气管道
184,燃气表
185,建筑垃圾
186,排风扇
187,残次品
188,虚假广告
189,断货
190,分销商
191,一口价
192,保质期
193,保修
194,网购
195,自动售货机
196,连衣裙
197,裙裤
198,蝙蝠衫
199,秋裤
200,秋衣
201,热裤
202,坡跟
203,西兰花
204,淀粉
205,百香果
206,百香果
207,橙子
208,羊蝎子
209,三文鱼。
210,金枪鱼
211,蚌
212,数字电视
213,录像机
214,"

数码相机"
215,卫生巾
216,安全套
217,圆珠笔
218,创可贴
219,桑拿
220,复印件
221,根据一个中国原则，台湾是中国不可分割的一部分。有关两岸居民往来的证件名称和办理事宜，都是中国内部事务，具体由有关部门依法依规进行管理。我们坚决反对任何形式的“台独”分裂行径和外部势力的干涉，坚持维护国家主权和领土完整。
222,一米线
223,空乘
224,机场巴士
225,空客
226,快速铁路
227,普快
228,乘警
229,铁警
230,磁悬浮列车
231,游客中心
232,站台
233,站台票
234,地铁
235,屏蔽门
236,中转站
237,公交枢纽
238,公共交通
