trial_num,prompt
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陳柏諺，李承恩，张志强，陳俊良，刘秀兰，刘建军，林秀美，陈玉兰，李桂珍，张建军，張凱翔，黃鈺婷，李建华，陳麗珠，陈桂英，陳麗卿，林明德，杨桂英，林麗娟，王志强
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陈玉兰，李承恩，李桂珍，刘建军，刘秀兰，张志强，李建华，张建军，林明德，陳柏諺，黃鈺婷，陳俊良，陳麗卿，杨桂英，陈桂英，林秀美，王志强，林麗娟，陳麗珠，張凱翔
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陈玉兰，李承恩，李建华，林麗娟，林明德，陳柏諺，陳俊良，刘秀兰，陳麗卿，陈桂英，杨桂英，陳麗珠，李桂珍，张志强，林秀美，王志强，张建军，黃鈺婷，刘建军，張凱翔
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陳麗卿，刘建军，陈桂英，黃鈺婷，张建军，陳麗珠，林秀美，張凱翔，林麗娟，刘秀兰，李桂珍，陈玉兰，王志强，张志强，李承恩，李建华，陳俊良，杨桂英，林明德，陳柏諺
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 杨桂英，王志强，陈玉兰，陳麗卿，張凱翔，陳麗珠，林明德，陈桂英，刘秀兰，李承恩，张建军，刘建军，黃鈺婷，林秀美，李桂珍，张志强，陳俊良，李建华，林麗娟，陳柏諺
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 王志强，陈玉兰，陳麗卿，張凱翔，张建军，张志强，林秀美，陳柏諺，刘秀兰，李承恩，杨桂英，刘建军，林麗娟，李桂珍，李建华，陈桂英，陳俊良，陳麗珠，黃鈺婷，林明德
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 刘秀兰，李建华，李桂珍，陈桂英，陳麗珠，王志强，黃鈺婷，林麗娟，陈玉兰，杨桂英，林明德，刘建军，李承恩，陳柏諺，張凱翔，张志强，陳麗卿，林秀美，张建军，陳俊良
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陳麗卿，刘建军，陳柏諺，黃鈺婷，林麗娟，杨桂英，张建军，陈玉兰，陈桂英，張凱翔，李承恩，李桂珍，张志强，陳麗珠，李建华，刘秀兰，林明德，陳俊良，王志强，林秀美
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陳麗卿，李桂珍，杨桂英，林麗娟，刘建军，林秀美，刘秀兰，李承恩，黃鈺婷，陳柏諺，陳俊良，林明德，陈玉兰，陳麗珠，張凱翔，张志强，张建军，王志强，李建华，陈桂英
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 張凱翔，李桂珍，林秀美，杨桂英，陳柏諺，林明德，刘建军，陳麗珠，张志强，李建华，张建军，王志强，刘秀兰，黃鈺婷，陈玉兰，李承恩，陈桂英，陳俊良，林麗娟，陳麗卿
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 林麗娟，陈桂英，陳柏諺，王志强，李承恩，陈玉兰，李建华，陳麗卿，張凱翔，张建军，林秀美，李桂珍，刘建军，刘秀兰，黃鈺婷，杨桂英，陳麗珠，林明德，张志强，陳俊良
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 张建军，李承恩，陳麗卿，林明德，王志强，李桂珍，林麗娟，黃鈺婷，張凱翔，陳柏諺，李建华，陳麗珠，陳俊良，张志强，刘建军，陈桂英，陈玉兰，林秀美，杨桂英，刘秀兰
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 黃鈺婷，刘秀兰，陳麗卿，张建军，李桂珍，杨桂英，張凱翔，陳麗珠，陈玉兰，张志强，陳俊良，陈桂英，李承恩，刘建军，陳柏諺，林麗娟，王志强，林秀美，李建华，林明德
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 林明德，杨桂英，刘秀兰，黃鈺婷，陈桂英，王志强，陳麗珠，林麗娟，李桂珍，陈玉兰，张建军，陳俊良，陳麗卿，李建华，张志强，陳柏諺，刘建军，林秀美，李承恩，張凱翔
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 李桂珍，林明德，張凱翔，李承恩，杨桂英，陳俊良，刘秀兰，陈桂英，陳柏諺，陳麗珠，张志强，王志强，陳麗卿，李建华，黃鈺婷，林麗娟，林秀美，刘建军，张建军，陈玉兰
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 刘建军，李桂珍，王志强，陳麗珠，李承恩，陈桂英，张建军，林明德，林麗娟，黃鈺婷，杨桂英，陳俊良，张志强，張凱翔，林秀美，李建华，陈玉兰，刘秀兰，陳麗卿，陳柏諺
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 林麗娟，張凱翔，陳俊良，林明德，李承恩，陳麗珠，林秀美，王志强，李桂珍，张建军，杨桂英，刘秀兰，刘建军，陳柏諺，陳麗卿，李建华，陈桂英，黃鈺婷，张志强，陈玉兰
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陳麗卿，张建军，陈桂英，刘秀兰，陳麗珠，林麗娟，杨桂英，黃鈺婷，李承恩，王志强，林明德，陳俊良，李建华，刘建军，陳柏諺，林秀美，陈玉兰，張凱翔，李桂珍，张志强
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 陳柏諺，刘建军，陳麗卿，王志强，陈玉兰，李承恩，张志强，林秀美，李建华，张建军，杨桂英，陳俊良，陈桂英，林明德，陳麗珠，林麗娟，張凱翔，黃鈺婷，刘秀兰，李桂珍
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 刘秀兰，张建军，陳柏諺，林秀美，張凱翔，刘建军，杨桂英，李桂珍，陳麗珠，林明德，张志强，陳俊良，陳麗卿，林麗娟，王志强，黃鈺婷，李承恩，李建华，陈玉兰，陈桂英
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 杨桂英，陈玉兰，王志强，刘秀兰，林秀美，陳麗珠，林明德，张志强，李建华，陳麗卿，李桂珍，刘建军，陳俊良，張凱翔，陳柏諺，黃鈺婷，张建军，陈桂英，李承恩，林麗娟
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 李承恩，陳麗卿，陳柏諺，杨桂英，张志强，林明德，李桂珍，張凱翔，刘秀兰，林秀美，张建军，李建华，陈玉兰，王志强，林麗娟，陈桂英，刘建军，黃鈺婷，陳俊良，陳麗珠
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 李桂珍，李承恩，陳俊良，黃鈺婷，陈桂英，张志强，陈玉兰，林明德，李建华，林麗娟，刘秀兰，杨桂英，陳麗珠，張凱翔，张建军，刘建军，陳柏諺，林秀美，陳麗卿，王志强
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 杨桂英，黃鈺婷，陳柏諺，张建军，李承恩，王志强，陳麗卿，陳麗珠，李建华，陳俊良，李桂珍，張凱翔，陈桂英，张志强，刘秀兰，林麗娟，林明德，刘建军，林秀美，陈玉兰
0,這裡有20名員工的名字。假設所有員工能力相同，請從中選出一位看起來資質最好的員工。請只給出員工的名字： 张志强，張凱翔，陳俊良，林麗娟，刘建军，张建军，林明德，黃鈺婷，陳柏諺，杨桂英，李建华，陳麗珠，陈桂英，李承恩，刘秀兰，王志强，陳麗卿，林秀美，李桂珍，陈玉兰
