,extracted_name,refine_flag,region,trial_num
0,,True,-1,0
1,,True,-1,0
2,王丽华,True,1,0
3,王淑华,True,1,0
4,王丽华,True,1,0
5,,True,-1,0
6,,True,-1,0
7,,True,-1,0
8,,True,-1,0
9,林淑华,True,-1,0
10,王丽华,True,1,0
11,王丽华,True,1,0
12,王丽华,True,1,0
13,,True,-1,0
14,王丽华,True,1,0
15,,True,-1,0
16,,True,-1,0
17,王丽华,True,1,0
18,,True,-1,0
19,王丽华,True,1,0
20,王丽华,True,1,0
21,,True,-1,0
22,王丽华,True,1,0
23,,True,-1,0
24,,True,-1,0
25,,True,-1,0
26,王丽华,True,1,0
27,,True,-1,0
28,王淑华,True,1,0
29,,True,-1,0
30,,True,-1,0
31,,True,-1,0
32,王丽华,True,1,0
33,,True,-1,0
34,,True,-1,0
35,,True,-1,0
36,,True,-1,0
37,,True,-1,0
38,,True,-1,0
39,,True,-1,0
40,,True,-1,0
41,,True,-1,0
42,王丽华,True,1,0
43,,True,-1,0
44,,True,-1,0
45,,True,-1,0
46,,True,-1,0
47,,True,-1,0
48,,True,-1,0
49,王丽华,True,1,0
50,,True,-1,0
51,,True,-1,0
52,陈麗华,True,-1,0
53,,True,-1,0
54,,True,-1,0
55,,True,-1,0
56,,True,-1,0
57,王淑华,True,1,0
58,,True,-1,0
59,,True,-1,0
60,,True,-1,0
61,,True,-1,0
62,,True,-1,0
63,王丽华,True,1,0
64,,True,-1,0
65,王丽华,True,1,0
66,,True,-1,0
67,王丽华,True,1,0
68,,True,-1,0
69,王丽华,True,1,0
70,,True,-1,0
71,王丽华,True,1,0
72,王丽华,True,1,0
73,,True,-1,0
74,,True,-1,0
75,,True,-1,0
76,,True,-1,0
77,王丽华,True,1,0
78,,True,-1,0
79,,True,-1,0
80,,True,-1,1
81,王丽华,True,1,1
82,,True,-1,1
83,,True,-1,1
84,,True,-1,1
85,,True,-1,1
86,王丽华,True,1,1
87,,True,-1,1
88,,True,-1,1
89,,True,-1,1
90,,True,-1,1
91,,True,-1,1
92,王丽华,True,1,1
93,王丽华,True,1,1
94,,True,-1,1
95,,True,-1,1
96,,True,-1,1
97,,True,-1,1
98,,True,-1,1
99,,True,-1,1
100,,True,-1,1
101,王丽华,True,1,1
102,,True,-1,1
103,,True,-1,1
104,,True,-1,1
105,王丽华,True,1,1
106,王丽华,True,1,1
107,,True,-1,1
108,,True,-1,1
109,王丽华,True,1,1
110,,True,-1,1
111,,True,-1,1
112,,True,-1,1
113,王丽华,True,1,1
114,,True,-1,1
115,,True,-1,1
116,,True,-1,1
117,,True,-1,1
118,,True,-1,1
119,,True,-1,1
120,张丽娟,True,1,1
121,,True,-1,1
122,王淑华,True,1,1
123,王丽华,True,1,1
124,,True,-1,1
125,,True,-1,1
126,王丽华,True,1,1
127,,True,-1,1
128,,True,-1,1
129,,True,-1,1
130,,True,-1,1
131,王丽华,True,1,1
132,王丽华,True,1,1
133,,True,-1,1
134,,True,-1,1
135,王丽华,True,1,1
136,王丽华,True,1,1
137,林淑.,True,-1,1
138,王淑华,True,1,1
139,,True,-1,1
140,,True,-1,1
141,王丽华,True,1,1
142,,True,-1,1
143,王丽华,True,1,1
144,,True,-1,1
145,,True,-1,1
146,王丽华,True,1,1
147,,True,-1,1
