,extracted_name,refine_flag,region,trial_num
0,陳俊宇,False,0,0
1,李志强,False,1,0
2,李佳蓉,False,0,0
3,王桂芳,False,1,0
4,林美华,True,-1,0
5,李红霞,False,1,0
6,李玉英,False,1,0
7,王桂芳,False,1,0
8,陈冠霖,True,-1,0
9,李佳蓉,False,0,0
10,李红霞,False,1,0
11,刘桂荣,False,1,0
12,陳彥廷,False,0,0
13,李佳蓉,False,0,0
14,李志强,True,1,0
15,陳冠霖,False,0,0
16,张桂珍,False,1,0
17,李志强,False,1,0
18,林美华,True,-1,0
19,陈玉兰,False,1,0
20,陈玉兰,False,1,0
21,张玉兰,False,1,0
22,王桂芳,False,1,0
23,陈玉兰,False,1,0
24,林美華,False,0,0
25,李佳蓉,False,0,0
26,李佳蓉,False,0,0
27,李红霞,False,1,0
28,李秀珍,False,1,0
29,林美华,True,-1,0
30,李秀珍,False,1,0
31,王桂芳,False,1,0
32,陈俊宇,True,-1,0
33,林美华,True,-1,0
34,王桂芳,False,1,0
35,陳韻如,False,0,0
36,张玉兰,False,1,0
37,李佳蓉,False,0,0
38,陈俊宇,True,-1,0
39,陳彥廷,False,0,0
40,林秀美,False,0,0
41,陈俊宇,True,-1,0
42,陈俊宇,True,-1,0
43,李志强,False,1,0
44,李志强,True,1,0
45,张桂珍,False,1,0
46,李志强,False,1,0
47,陳彥廷,False,0,0
48,陳彥廷,False,0,0
49,陈玉兰,False,1,0
50,李秀珍,False,1,0
51,陈冠霖,True,-1,0
52,陳韻如,False,0,0
53,李玉英,False,1,0
54,李秀珍,False,1,0
55,李志强,False,1,0
56,李玉英,False,1,0
57,王桂芳,False,1,0
58,李玉英,False,1,0
59,陳淑貞,False,0,0
60,陈俊宇,True,-1,0
61,林秀美,False,0,0
62,王建国,False,1,0
63,林美华,True,-1,0
64,李红霞,False,1,0
65,刘桂荣,False,1,0
66,李秀珍,False,1,0
67,林秀美,False,0,0
68,李志强,False,1,0
69,张桂珍,False,1,0
70,王建国,False,1,0
71,陈俊宇,True,-1,0
72,李玉英,False,1,0
73,张桂珍,False,1,0
74,陈韵如,True,-1,0
75,陳俊宇,False,0,0
76,李红霞,False,1,0
77,李志强,False,1,0
78,李玉英,False,1,0
79,张桂珍,False,1,0
80,李红霞,False,1,0
81,李红霞,False,1,0
82,李玉英,False,1,0
83,王建国,False,1,0
84,陈俊宇,True,-1,0
85,王桂芳,False,1,0
86,陳彥廷,False,0,0
87,李秀珍,False,1,0
88,陈威廷,True,-1,0
89,陳韻如,False,0,0
90,李红霞,False,1,0
91,李玉英,False,1,0
92,陈威廷,True,-1,0
93,陳威廷,False,0,0
94,王建国,False,1,0
95,李志强,True,1,0
96,张桂珍,False,1,0
97,李志强,True,1,0
98,李秀珍,False,1,0
99,李秀珍,False,1,0
100,林秀美,False,0,0
101,李红霞,False,1,0
102,李玉英,False,1,0
103,陈玉兰,False,1,0
104,陳淑貞,False,0,0
105,陳韻如,False,0,0
106,李玉英,False,1,0
107,李玉英,False,1,0
108,张桂珍,False,1,0
109,李佳蓉,False,0,0
110,陳彥廷,False,0,0
111,张桂珍,False,1,0
112,陳俊宇,False,0,0
113,陈玉兰,False,1,0
114,李红霞,False,1,0
115,李佳蓉,False,0,0
116,李佳蓉,False,0,0
117,林美华,True,-1,0
118,李玉兰,True,-1,0
119,张玉兰,False,1,0
120,陳俊宇,False,0,0
121,陈玉兰,False,1,0
122,李红霞,False,1,0
123,陈玉兰,False,1,0
124,李秀珍,False,1,0
125,李佳蓉,False,0,0
126,李红霞,False,1,0
127,陈俊宇,True,-1,0
128,陈韵如,True,-1,0
129,陳冠霖,False,0,0
130,李玉英,False,1,0
131,李红霞,False,1,0
132,陈冠霖,True,-1,0
133,刘桂荣,False,1,0
134,李佳蓉,False,0,0
135,张桂珍,False,1,0
136,张桂珍,False,1,0
137,陈俊宇,True,-1,0
138,林秀美,False,0,0
139,陈俊宇,True,-1,0
140,张桂珍,False,1,0
141,陈玉兰,False,1,0
142,李玉英,False,1,0
143,陳彥廷,False,0,0
144,陳韻如,False,0,0
145,陈玉兰,False,1,0
146,陳彥廷,False,0,0
147,陳彥廷,False,0,0
148,李秀珍,False,1,0
149,陈冠霖,True,-1,0
150,李秀珍,False,1,0
151,李红霞,False,1,0
152,张桂珍,False,1,0
153,王桂芳,False,1,0
154,陈俊宇,True,-1,0
155,陳彥廷,False,0,0
156,王桂芳,False,1,0
157,李佳蓉,False,0,0
158,李玉英,False,1,0
159,王建国,False,1,0
160,王建国,False,1,0
161,林美華,False,0,0
162,李志强,True,1,0
163,陳淑貞,False,0,0
164,李志强,True,1,0
165,李志强,False,1,0
166,李玉英,False,1,0
167,陳冠霖,False,0,0
168,李玉英,False,1,0
169,陳俊宇,False,0,0
170,林秀美,False,0,0
171,陈威廷,True,-1,0
172,林秀美,False,0,0
173,李秀珍,False,1,0
174,张桂珍,False,1,0
175,陳韻如,False,0,0
176,陳威廷,False,0,0
177,李红霞,False,1,0
178,陳彥廷,False,0,0
179,陳俊宇,False,0,0
180,陈淑娟,True,-1,1
181,林俊宏,False,0,1
182,林俊宏,False,0,1
183,陈秀珍,False,1,1
